PLATE MJD FIBER THING_ID RUN RERUN CAMCOL FIELD ID PLUG_RA PLUG_DEC SPECTROFLUX_1 SPECTROFLUX_2 SPECTROFLUX_3
10000 57346 92 341840093 8105 301 1 136 316 30.482579999999984 26.479021 6.858458518981934 8.25019359588623 8.990396499633789
10000 57346 100 341840412 8105 301 1 136 580 30.633983 26.598505 2.936959743499756 3.0200235843658447 3.20298433303833
10000 57346 136 340637645 8097 301 1 52 316 30.295799999999986 26.42843 4.889806747436523 5.158545970916748 4.964000225067139
10000 57346 172 342652719 8105 301 1 133 555 30.135539999999992 26.538557 1.0217392444610596 1.1541154384613037 1.4158819913864136
10000 57346 260 341123990 8097 301 1 50 401 29.971317 26.539365 1.337733507156372 1.4549319744110107 1.319901943206787
10000 57346 266 344738135 8097 301 2 49 517 29.77659699999998 26.913856 2.0892884731292725 1.7875083684921265 1.40067720413208
10000 57346 280 346955029 8105 301 2 129 598 29.58091300000001 27.239625 4.522295951843262 4.729756832122803 4.21539306640625
10000 57346 307 345257490 8097 301 2 47 669 29.558925999999985 27.022912 2.3966710567474365 2.315997362136841 2.1720948219299316
10000 57346 364 336426277 8056 301 5 124 374 29.406819999999982 25.966043 7.7309064865112305 7.247866630554199 7.500471591949463
10000 57346 436 346239524 8097 301 2 43 501 28.759446000000025 27.023727 2.9496116638183594 3.695373773574829 5.0668511390686035
10000 57346 456 341037487 8056 301 6 119 628 28.751423999999986 26.525284 2.235419750213623 2.336595058441162 2.7644574642181396
10000 57346 482 343269820 7937 301 6 219 427 28.328433000000018 26.640984 2.70776629447937 3.238548755645752 2.7370035648345947
10000 57346 484 343388415 8097 301 1 41 369 28.505741999999998 26.811449 3.7302894592285156 3.2511146068573 3.0006260871887207
10000 57346 502 352296078 8105 301 3 121 583 28.352938999999992 27.81459 5.241137504577637 5.59945011138916 5.3337297439575195
10000 57346 536 348420585 8105 301 2 123 327 28.576922000000025 27.27567 5.236539840698242 5.443634986877441 5.980560302734375
10000 57346 556 353354706 8097 301 4 41 465 28.665636000000006 27.913668 1.354516863822937 1.3056740760803223 1.5795468091964722
10000 57346 604 351278054 8105 301 3 125 311 29.034977000000026 27.67609 2.4124488830566406 2.326465368270874 2.9979147911071777
10000 57346 642 351046414 8105 301 3 126 422 29.206838000000005 27.677376 4.556633949279785 5.170851230621338 5.650372505187988
10000 57346 732 350283464 8105 301 3 129 493 29.637520999999992 27.566325 4.157008171081543 4.165308952331543 3.9636270999908447
10000 57346 818 348052255 8097 301 3 49 453 29.892284000000018 27.348591 2.2439815998077393 3.406172275543213 3.5039639472961426
10000 57346 821 359651222 8105 301 6 131 367 30.179564000000028 28.696512 2.2529072761535645 3.3355541229248047 3.049773931503296
10000 57346 888 350868168 8097 301 4 51 228 30.409065999999996 27.662013 9.028583526611328 9.580081939697266 10.593964576721191
10000 57346 890 350610703 8097 301 4 52 621 30.511517000000026 27.647265 3.1601555347442627 2.9716708660125732 2.8533339500427246
10000 57346 910 355334956 8105 301 5 135 400 30.764459999999985 28.25866 4.902251243591309 3.9189321994781494 4.927253723144531
10000 57346 914 355636146 8105 301 5 134 378 30.710758999999996 28.252676 9.002013206481934 7.878216743469238 8.562597274780273
10000 57346 952 355058548 8105 301 5 136 360 30.969396000000017 28.154529 5.978141784667969 6.088631629943848 6.0297675132751465
10000 57346 999 349534382 8097 301 4 56 456 31.18612300000001 27.480021 2.609309196472168 2.185516357421875 1.696170449256897
7572 56944 5 267246461 8096 301 5 47 520 331.51805 17.56571 7.201233863830566 8.709752082824707 8.52490234375
7572 56944 226 272920497 8102 301 2 42 937 330.50070000000005 18.283718 1.2335351705551147 1.6217906475067139 1.527270793914795
7572 56944 348 270126146 8108 301 2 51 961 329.90977999999996 17.997903 1.1196786165237427 1.835614800453186 2.308898687362671
7572 56944 504 277500052 8102 301 4 34 180 329.13168999999994 18.85198 2.6131575107574463 2.8523495197296143 3.601027488708496
7572 56944 520 276061714 8108 301 4 48 651 329.34583999999995 18.704481 1.1014410257339478 1.3724167346954346 1.9830726385116577
7572 56944 526 275822186 8108 301 4 47 803 329.0460499999999 18.683957 0.9863006472587585 1.4759645462036133 0.993668794631958
7572 56944 648 277136879 8108 301 4 52 963 329.81719999999996 18.844994 1.8091731071472168 1.572373390197754 1.4705406427383423
7572 56944 684 279403960 8102 301 4 41 447 330.20720000000006 19.018565 2.1544363498687744 2.6370811462402344 2.9170122146606445
7572 56944 716 281302088 8108 301 5 55 915 330.29801 19.425795 3.6009957790374756 4.175097465515137 4.450227737426758
7572 56944 730 277695513 8108 301 4 54 693 330.29338000000007 18.815878 4.3698835372924805 4.707082748413086 4.782439231872559
7572 56944 743 285177146 4836 301 1 180 697 330.4485199999999 19.77142 3.4439992904663086 3.6869924068450928 3.8432974815368652
7572 56944 827 287472265 4880 301 1 22 1058 330.70876999999996 19.991611 1.7160816192626953 1.8249256610870361 1.9280998706817627
7572 56944 831 285864382 7708 301 1 22 865 330.70127 19.863813 2.9812822341918945 3.0055973529815674 3.0918729305267334
7572 56944 881 277376098 8102 301 3 46 832 331.02391 18.761037 4.853686332702637 6.229349613189697 7.131468296051025
7572 56944 907 284867585 8102 301 5 49 72 331.30533 19.733974 2.7888784408569336 2.922280788421631 3.257005214691162
7572 56944 925 277867345 8102 301 3 48 803 331.32278999999994 18.883875 2.034283399581909 2.422990083694458 2.463749408721924
7572 56944 1000 275530315 8102 301 2 52 913 332.04826 18.653617 2.9843146800994873 3.0221920013427734 2.977485418319702
7573 56946 254 281523639 4836 301 1 168 790 328.56521999999995 19.402212 5.592483043670654 6.552440166473389 8.058302879333496
7573 56946 264 283392625 4879 301 1 178 1187 328.54422 19.645622 3.039982557296753 4.790976524353027 5.421992778778076
7573 56946 268 285194646 4836 301 2 169 707 328.53044 19.815833 3.005300521850586 3.4971394538879395 3.43100905418396
7573 56946 398 287986962 4836 301 3 167 888 328.1083699999999 20.138734 2.392554759979248 2.44401478767395 2.6562340259552
7573 56946 430 285489369 4879 301 2 174 592 327.90391 19.768339 4.130074501037598 4.529323101043701 5.033520221710205
7573 56946 488 286705417 4836 301 3 163 375 327.54159000000004 19.944465 5.172478675842285 5.97288703918457 7.043606758117676
7573 56946 540 292220852 4879 301 4 174 921 327.60956 20.691394 8.009742736816406 11.390565872192383 14.352195739746094
7573 56946 591 297757336 4836 301 6 166 618 327.7212400000001 21.289124 7.150190353393555 9.42021369934082 10.366728782653809
7573 56946 594 296246603 4879 301 5 176 1206 327.75382 21.230142 3.051081418991089 3.7705867290496826 3.8257131576538086
7573 56946 672 295023804 4836 301 5 168 1180 328.12030000000004 21.043186 3.9778988361358643 4.133819103240967 4.080626010894775
7573 56946 679 298400178 4836 301 6 168 1200 328.04156 21.339196 4.10040283203125 5.55452299118042 5.586820125579834
7573 56946 759 294143800 4879 301 4 180 1058 328.5119199999999 20.95364 4.954741477966309 5.353775978088379 5.5579633712768555
7573 56946 891 289966248 7708 301 3 13 814 329.11551 20.318936 3.235990285873413 4.237912654876709 4.9832329750061035
7573 56946 902 299021087 4879 301 5 185 1609 329.27387 21.490002 0.6043214797973633 1.2992321252822876 1.5367387533187866
7573 56946 913 299021346 4879 301 5 185 920 329.17291 21.372229 6.1511101722717285 7.107242107391357 7.9878458976745605
7573 56946 924 293894820 7708 301 4 15 822 329.33776 20.830932 2.6564595699310303 2.0048766136169434 2.2358686923980713
7573 56946 966 290534555 7708 301 3 15 483 329.45540000000005 20.384649 8.11756706237793 10.532002449035645 12.184698104858398
7573 56946 994 293220530 4879 301 3 188 760 329.95272 20.73785 3.761641263961792 4.204031467437744 4.395188808441162
7573 56946 997 293513884 4879 301 3 189 1544 330.08775 20.918019 1.9418220520019531 1.7821067571640015 1.9804056882858276
7574 56945 3 273194872 8108 301 1 76 760 333.85091 18.342608 1.8840819597244263 1.7707865238189697 1.675042748451233
7574 56945 7 274193860 8102 301 1 60 794 333.4359099999999 18.411322 3.4894282817840576 2.946244716644287 2.632817029953003
7574 56945 84 269951814 8096 301 5 59 599 333.34816 17.939288 6.717371940612793 7.347071170806885 7.511895179748535
7574 56945 98 271634996 8101 301 6 58 799 333.24523 18.134596 2.513019323348999 2.8411970138549805 2.7044472694396973
7574 56945 180 271191492 8101 301 6 56 718 332.91367 18.040521 4.118414878845215 4.003030776977539 3.8880672454833984
7574 56945 236 276793721 8102 301 2 57 548 332.77351999999996 18.69646 4.35094690322876 4.8343024253845215 5.860522270202637
7574 56945 248 267338613 8101 301 5 54 698 332.68613000000005 17.720023 7.763608932495117 9.67172908782959 10.266547203063965
7574 56945 284 268898723 8096 301 5 54 660 332.59055 17.773486 2.0636186599731445 2.2359304428100586 2.069141387939453
7574 56945 349 272456120 8102 301 1 53 871 332.32246 18.330221 3.7823173999786377 4.00141716003418 3.7452516555786133
7574 56945 422 273824742 8108 301 2 65 953 332.15122999999994 18.517801 3.8517308235168457 4.6163249015808105 4.86576509475708
7574 56945 427 277208826 8108 301 3 65 966 332.0645400000001 18.789517 2.4058618545532227 2.573338031768799 2.5345232486724854
7574 56945 456 271385925 8102 301 1 49 532 331.64573999999993 18.018999 10.475565910339355 9.979729652404785 9.907430648803711
7574 56945 541 289834640 4880 301 1 30 733 331.88136 20.335903 2.5618741512298584 2.7058844566345215 3.3877782821655273
7574 56945 598 284467275 8108 301 5 67 578 332.10343 19.800675 1.9484657049179077 2.171889305114746 2.02651309967041
7574 56945 643 279429705 8102 301 3 54 597 332.27946999999995 19.107803 4.702678203582764 5.2031779289245605 5.274275302886963
7574 56945 668 286708884 8102 301 5 56 508 332.39797999999996 19.931472 5.828714847564697 6.342241287231445 6.841701030731201
7574 56945 797 285722549 8108 301 5 72 726 332.86726 19.902255 1.8574048280715942 2.3888773918151855 2.3806650638580322
7574 56945 828 291807730 4880 301 1 37 819 332.95189000000005 20.52717 1.1202657222747803 1.1220993995666504 0.9105216860771179
7574 56945 936 279238135 8108 301 3 73 583 333.32039 18.996262 4.798288822174072 5.486593246459961 5.434295654296875
7574 56945 975 278037889 8102 301 2 62 567 333.62105999999994 19.02033 5.458206653594971 7.17472505569458 7.927424430847168
7575 56947 29 290102725 4880 301 1 31 805 331.98161000000005 20.483185 6.564301490783691 5.896850109100342 6.043633937835693
7575 56947 92 287664116 7708 301 1 28 696 331.7246 20.095671 4.46470832824707 4.863626480102539 5.086025238037109
7575 56947 122 287329902 7708 301 1 27 622 331.46786 20.0767 5.032778739929199 4.966283321380615 5.095027446746826
7575 56947 132 288929039 4880 301 1 27 1090 331.46073 20.169579 2.2550888061523438 3.421797275543213 3.9455552101135254
7575 56947 166 288369108 4880 301 1 25 799 331.14126 20.157694 4.690450668334961 5.6445441246032715 5.632060527801514
7575 56947 172 287046360 7708 301 1 26 616 331.34175000000005 19.973929 5.674386024475098 5.835468292236328 6.880084037780762
7575 56947 222 291931304 4879 301 2 195 879 331.05005000000006 20.595749 2.48869252204895 3.492403507232666 4.410130977630615
7575 56947 240 293245310 7708 301 3 24 439 330.90032999999994 20.78577 5.712443828582764 5.949028491973877 5.827526092529297
7575 56947 262 289590820 7708 301 2 23 561 330.83359999999993 20.297614 2.6063106060028076 3.9473819732666016 4.462182998657227
7575 56947 277 293245108 7708 301 3 24 586 330.79795 20.711028 5.647030353546143 6.010470867156982 7.807635307312012
7575 56947 379 287048844 4879 301 1 190 983 330.39787 20.097517 1.5007994174957275 1.9619001150131226 1.729591965675354
7575 56947 426 290144905 4879 301 2 189 1037 330.08565999999996 20.435907 1.7872463464736938 2.251314163208008 2.375023126602173
7575 56947 515 294204352 7708 301 4 16 888 329.42975 20.87766 1.0626078844070435 1.2375370264053345 1.228635549545288
