PLATE_E MJD_E FIBER_E THING_ID_E PLATE_B MJD_B FIBER_B THING_ID_B
7818 56989 5 85118903 4229 55501 106 85234552
7818 56989 12 77873749 4230 55483 421 77960659
7818 56989 64 87887349 4229 55501 192 88013318
7818 56989 94 77865427 4229 55501 300 77952306
7818 56989 127 68298856 4229 55501 242 68334028
7818 56989 132 73003909 4229 55501 206 73067713
7818 56989 172 77863794 4229 55501 334 77950663
7818 56989 182 73005930 4229 55501 284 73069746
7818 56989 216 87883641 4229 55501 310 88009610
7818 56989 218 92204806 4229 55501 316 92354606
7818 56989 256 77857912 4228 55484 92 77944781
7818 56989 264 85130765 4228 55484 18 85246413
7818 56989 294 87880548 4229 55501 391 88006478
7818 56989 312 77851441 4228 55484 210 77938287
7818 56989 326 87879062 4229 55501 388 88004990
7818 56989 331 87879039 4228 55484 64 88004967
7818 56989 366 87874851 4229 55501 472 88000744
7818 56989 374 94526846 4229 55501 437 94691602
7818 56989 402 93591718 4229 55501 476 93751479
7818 56989 450 93587436 4227 55481 13 93747191
7818 56989 464 93590336 4229 55501 498 93750093
7818 56989 484 84331427 4228 55484 344 84445549
7818 56989 512 102949674 4228 55484 684 103135001
7818 56989 534 96840274 4228 55484 775 97012955
7818 56989 541 121156270 4228 55484 786 121348373
7818 56989 543 123170633 4228 55484 822 123359191
7818 56989 553 115641614 4228 55484 748 115832943
7818 56989 558 112625318 4228 55484 720 112815318
7818 56989 610 102952975 4229 55501 517 103138294
7818 56989 611 102953172 4228 55484 850 103138491
7818 56989 618 96843319 4228 55484 847 97016000
7818 56989 632 115645228 4314 55855 292 115836549
7818 56989 644 106226554 4228 55484 853 106416056
7818 56989 648 101027089 4229 55501 522 101209676
7818 56989 682 106229858 4229 55501 579 106419351
7818 56989 690 106229742 4228 55484 896 106419235
7818 56989 692 101028344 4228 55484 900 101210932
7818 56989 702 125152701 4314 55855 204 125342251
7818 56989 711 115648586 4228 55484 946 115839888
7818 56989 719 112569435 4229 55501 596 112759468
7818 56989 719 112569435 4228 55484 958 112759468
7818 56989 720 112563304 4229 55501 602 112753348
7818 56989 726 106232841 4229 55501 656 106422332
7818 56989 752 115650098 4229 55501 636 115841399
7818 56989 752 115650098 4228 55484 943 115841399
7818 56989 794 112553489 4229 55501 634 112743550
7818 56989 818 101427572 4229 55501 685 101611463
7818 56989 819 96854174 4229 55501 699 97026865
7818 56989 822 123075851 4314 55855 85 123264371
7818 56989 843 106235431 4229 55501 682 106424899
7818 56989 858 101425914 4229 55501 726 101609810
7818 56989 882 106237213 4229 55501 733 106426672
7818 56989 886 106238938 4229 55501 762 106428393
7818 56989 970 101422678 4229 55501 858 101606575
7818 56989 976 101422774 4230 55483 534 101606671
7820 56984 20 97117436 4242 55476 1000 97290226
7820 56984 68 78109721 4242 55476 62 78197238
7820 56984 92 78110429 4242 55476 58 78197955
7820 56984 105 84718854 4242 55476 104 84834069
7820 56984 158 93894302 4242 55476 116 94055785
7820 56984 165 68746219 4242 55476 130 68784285
7820 56984 194 88128145 4242 55476 148 88255055
7820 56984 216 78104967 4242 55476 181 78192465
7820 56984 220 78104875 4242 55476 180 78192373
7820 56984 233 82603535 4242 55476 184 82711159
7820 56984 236 92159120 4242 55476 200 92308421
7820 56984 252 68748002 4242 55476 210 68786071
7820 56984 270 92160638 4242 55476 236 92309941
