PLATE MJD FIBER THING_ID RUN RERUN CAMCOL FIELD ID
10000 57346 92 341840093 8105 301 1 136 316
10000 57346 100 341840412 8105 301 1 136 580
10000 57346 136 340637645 8097 301 1 52 316
10000 57346 172 342652719 8105 301 1 133 555
10000 57346 260 341123990 8097 301 1 50 401
10000 57346 266 344738135 8097 301 2 49 517
10000 57346 280 346955029 8105 301 2 129 598
10000 57346 307 345257490 8097 301 2 47 669
10000 57346 364 336426277 8056 301 5 124 374
10000 57346 436 346239524 8097 301 2 43 501
10000 57346 456 341037487 8056 301 6 119 628
10000 57346 482 343269820 7937 301 6 219 427
10000 57346 484 343388415 8097 301 1 41 369
10000 57346 502 352296078 8105 301 3 121 583
10000 57346 536 348420585 8105 301 2 123 327
10000 57346 556 353354706 8097 301 4 41 465
10000 57346 604 351278054 8105 301 3 125 311
10000 57346 642 351046414 8105 301 3 126 422
10000 57346 732 350283464 8105 301 3 129 493
10000 57346 818 348052255 8097 301 3 49 453
10000 57346 821 359651222 8105 301 6 131 367
10000 57346 888 350868168 8097 301 4 51 228
10000 57346 890 350610703 8097 301 4 52 621
10000 57346 910 355334956 8105 301 5 135 400
10000 57346 914 355636146 8105 301 5 134 378
10000 57346 952 355058548 8105 301 5 136 360
10000 57346 999 349534382 8097 301 4 56 456
7572 56944 5 267246461 8096 301 5 47 520
7572 56944 226 272920497 8102 301 2 42 937
7572 56944 348 270126146 8108 301 2 51 961
7572 56944 504 277500052 8102 301 4 34 180
7572 56944 520 276061714 8108 301 4 48 651
7572 56944 526 275822186 8108 301 4 47 803
7572 56944 648 277136879 8108 301 4 52 963
7572 56944 684 279403960 8102 301 4 41 447
7572 56944 716 281302088 8108 301 5 55 915
7572 56944 730 277695513 8108 301 4 54 693
7572 56944 743 285177146 4836 301 1 180 697
7572 56944 827 287472265 4880 301 1 22 1058
7572 56944 831 285864382 7708 301 1 22 865
7572 56944 881 277376098 8102 301 3 46 832
7572 56944 907 284867585 8102 301 5 49 72
7572 56944 925 277867345 8102 301 3 48 803
7572 56944 1000 275530315 8102 301 2 52 913
7573 56946 254 281523639 4836 301 1 168 790
7573 56946 264 283392625 4879 301 1 178 1187
7573 56946 268 285194646 4836 301 2 169 707
7573 56946 398 287986962 4836 301 3 167 888
7573 56946 430 285489369 4879 301 2 174 592
7573 56946 488 286705417 4836 301 3 163 375
7573 56946 540 292220852 4879 301 4 174 921
7573 56946 591 297757336 4836 301 6 166 618
7573 56946 594 296246603 4879 301 5 176 1206
7573 56946 672 295023804 4836 301 5 168 1180
7573 56946 679 298400178 4836 301 6 168 1200
7573 56946 759 294143800 4879 301 4 180 1058
7573 56946 891 289966248 7708 301 3 13 814
7573 56946 902 299021087 4879 301 5 185 1609
7573 56946 913 299021346 4879 301 5 185 920
7573 56946 924 293894820 7708 301 4 15 822
7573 56946 966 290534555 7708 301 3 15 483
7573 56946 994 293220530 4879 301 3 188 760
7573 56946 997 293513884 4879 301 3 189 1544
7574 56945 3 273194872 8108 301 1 76 760
7574 56945 7 274193860 8102 301 1 60 794
7574 56945 84 269951814 8096 301 5 59 599
7574 56945 98 271634996 8101 301 6 58 799
7574 56945 180 271191492 8101 301 6 56 718
7574 56945 236 276793721 8102 301 2 57 548
7574 56945 248 267338613 8101 301 5 54 698
7574 56945 284 268898723 8096 301 5 54 660
7574 56945 349 272456120 8102 301 1 53 871
7574 56945 422 273824742 8108 301 2 65 953
7574 56945 427 277208826 8108 301 3 65 966
7574 56945 456 271385925 8102 301 1 49 532
7574 56945 541 289834640 4880 301 1 30 733
7574 56945 598 284467275 8108 301 5 67 578
7574 56945 643 279429705 8102 301 3 54 597
7574 56945 668 286708884 8102 301 5 56 508
7574 56945 797 285722549 8108 301 5 72 726
7574 56945 828 291807730 4880 301 1 37 819
7574 56945 936 279238135 8108 301 3 73 583
7574 56945 975 278037889 8102 301 2 62 567
7575 56947 29 290102725 4880 301 1 31 805
7575 56947 92 287664116 7708 301 1 28 696
